orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
infineon::cy8c624abzi-s2d44a0,infineon::cy8c624abzi-s2d44a0,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ABZI-S2D44A0,CY8C624ABZI-S2D44A0,,,,,124-BGA,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624afni-d43,infineon::cy8c624afni-d43,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AFNI-D43,CY8C624AFNI-D43,,,,,100-WLCSP,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624afni-s2d43,infineon::cy8c624afni-s2d43,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624AFNI-S2D43,CY8C624AFNI-S2D43,,,,,100-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624alqi-d42,infineon::cy8c624alqi-d42,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ALQI-D42,CY8C624ALQI-D42,,,,,68-QFN,-40..85 °C,,obsolete,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624alqi-s2d02,infineon::cy8c624alqi-s2d02,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ALQI-S2D02,CY8C624ALQI-S2D02,,,,,68-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c624alqi-s2d42,infineon::cy8c624alqi-s2d42,Infineon,PSOC 62,PSOC 62,CY8C62xA,CY8C624ALQI-S2D42,CY8C624ALQI-S2D42,,,,,68-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6316bzi-blf03,infineon::cy8c6316bzi-blf03,Infineon,PSOC 63,PSOC 63,CY8C6316,CY8C6316BZI-BLF03,CY8C6316BZI-BLF03,,,,,116-BGA-BLE,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6316bzi-blf04,infineon::cy8c6316bzi-blf04,Infineon,PSOC 63,PSOC 63,CY8C6316,CY8C6316BZI-BLF04,CY8C6316BZI-BLF04,,,,,124-BGA-SIP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6316bzi-blf53,infineon::cy8c6316bzi-blf53,Infineon,PSOC 63,PSOC 63,CY8C6316,CY8C6316BZI-BLF53,CY8C6316BZI-BLF53,,,,,116-BGA-BLE,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c6316bzi-blf54,infineon::cy8c6316bzi-blf54,Infineon,PSOC 63,PSOC 63,CY8C6316,CY8C6316BZI-BLF54,CY8C6316BZI-BLF54,,,,,124-BGA-SIP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
