orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
microchip::at90pwm81-16me,microchip::at90pwm81,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM81,AT90PWM81-16ME,-16ME,,,,QFN32,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm81-16mf,microchip::at90pwm81,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM81,AT90PWM81-16MF,-16MF,,,,QFN32,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm81-16se,microchip::at90pwm81,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM81,AT90PWM81-16SE,-16SE,,,,SOIC20,-40..105 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90pwm81-16sf,microchip::at90pwm81,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90PWM81,AT90PWM81-16SF,-16SF,,,,SOIC20,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb1286-au,microchip::at90usb1286,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB1286,AT90USB1286-AU,-AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb1286-mu,microchip::at90usb1286,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB1286,AT90USB1286-MU,-MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb1287-au,microchip::at90usb1287,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB1287,AT90USB1287-AU,-AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb1287-mu,microchip::at90usb1287,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB1287,AT90USB1287-MU,-MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb162-16au,microchip::at90usb162,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB162,AT90USB162-16AU,-16AU,,,,TQFP32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb162-16aur,microchip::at90usb162,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB162,AT90USB162-16AUR,-16AUR,,,,TQFP32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb162-16mu,microchip::at90usb162,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB162,AT90USB162-16MU,-16MU,,,,QFN32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb162-16mur,microchip::at90usb162,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB162,AT90USB162-16MUR,-16MUR,,,,QFN32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
