source_id,source_type,publisher,title,url,version,observed_at,verification_scope
qinheng:ch32-data-yaml:CH32V203K8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203K8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203K8T6.yaml,main;sha256:6cca4a3e4a02dbe08e6d3a2152cba2c17f3b5bedb41f0aabc7358980d4fd9d74,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V203RBT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V203RBT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V203RBT6.yaml,main;sha256:2d60dc2312f75e0965c8491e9df113b5ef367ca85c461723f471d4369d0dda1a,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V208CBU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V208CBU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V208CBU6.yaml,main;sha256:dc8aef99d493332c953ee7f6b0e5d4cd0b3a0284e3c3bd89d5f495c46a7d25e1,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V208GBU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V208GBU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V208GBU6.yaml,main;sha256:56e0eb2c8091f3eea159a563e8606855e0f03c4c72f191c937a15bae38c667a2,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V208RBT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V208RBT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V208RBT6.yaml,main;sha256:b2a5864c07912de6db84676b9b67c7000c17c1555514d7813f2ab998ae32590f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V208WBU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V208WBU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V208WBU6.yaml,main;sha256:23ed0b12e1fbe3610d492ebf468225ffc11313f5d732cee8ca03dfa56610360f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V303CBT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V303CBT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V303CBT6.yaml,main;sha256:d74c5301364ac44f6c0b2c06adedede91e2657204a89e9fe52759b1c7e97f06c,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V303RBT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V303RBT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V303RBT6.yaml,main;sha256:32457d88376f262c493108ec31368a061f3a7076eddc642c40563a508f25add6,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V303RCT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V303RCT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V303RCT6.yaml,main;sha256:4593e1509f34f9f4c0aa00ab9ab5a8918c0ea48fc28beb18fcefe6b3e594effe,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V303VCT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V303VCT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V303VCT6.yaml,main;sha256:b96568cd64692225b013f39aaeb6c91fb73108db505706f97e96941b102ba8bb,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V305FBP6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V305FBP6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V305FBP6.yaml,main;sha256:13d0fdefdce55096d516ac09b97f77ace41a928b7a513f5ff4cfbd4ddc587b8d,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V305GBU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V305GBU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V305GBU6.yaml,main;sha256:0dbccbce03136f335fa6160762fe59d52b243b6113ad6095210a5dc319adaeb5,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
