orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32f403acct7,artery::at32f403acct7,Artery,AT32,AT32F,AT32F403A,AT32F403ACCT7,AT32F403ACCT7,CCT7,CCT7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403accu7,artery::at32f403accu7,Artery,AT32,AT32F,AT32F403A,AT32F403ACCU7,AT32F403ACCU7,CCU7,CCU7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403acet7,artery::at32f403acet7,Artery,AT32,AT32F,AT32F403A,AT32F403ACET7,AT32F403ACET7,CET7,CET7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403aceu7,artery::at32f403aceu7,Artery,AT32,AT32F,AT32F403A,AT32F403ACEU7,AT32F403ACEU7,CEU7,CEU7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403acgt7,artery::at32f403acgt7,Artery,AT32,AT32F,AT32F403A,AT32F403ACGT7,AT32F403ACGT7,CGT7,CGT7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403acgu7,artery::at32f403acgu7,Artery,AT32,AT32F,AT32F403A,AT32F403ACGU7,AT32F403ACGU7,CGU7,CGU7,,,LQFP48,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403arct7,artery::at32f403arct7,Artery,AT32,AT32F,AT32F403A,AT32F403ARCT7,AT32F403ARCT7,RCT7,RCT7,,,LQFP64,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403aret7,artery::at32f403aret7,Artery,AT32,AT32F,AT32F403A,AT32F403ARET7,AT32F403ARET7,RET7,RET7,,,LQFP64,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403argt7,artery::at32f403argt7,Artery,AT32,AT32F,AT32F403A,AT32F403ARGT7,AT32F403ARGT7,RGT7,RGT7,,,LQFP64,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403avct7,artery::at32f403avct7,Artery,AT32,AT32F,AT32F403A,AT32F403AVCT7,AT32F403AVCT7,VCT7,VCT7,,,LQFP100,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
