pack_vendor,pack_name,pack_version,pdsc_url,deprecated,replacement,index_timestamp,selected_for_import,fetch_status,device_count,error
GigaDevice,GD32E23x_DFP,1.0.2,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E23x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32E50x_DFP,1.3.2,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E50x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32L23x_DFP,1.0.3,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32L23x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
GigaDevice,GD32W51x_DFP,1.0.3,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32W51x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
Infineon,TLE984x_DFP,1.3.4,https://itools.infineon.com/cmsis_packs/TLE984x/Infineon.TLE984x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
Infineon,IMM100A_DFP,1.0.1,https://itools.infineon.com/cmsis_packs/IMM100A/Infineon.IMM100A_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
Microchip,SAMD09_DFP,2.5.147,https://packs.download.microchip.com/Microchip.SAMD09_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
Microchip,SAMD10_DFP,2.7.81,https://packs.download.microchip.com/Microchip.SAMD10_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
Microchip,SAMR30_DFP,2.0.47,https://packs.download.microchip.com/Microchip.SAMR30_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F003_DFP,1.0.5,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F003_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F0010_DFP,1.0.6,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0010_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F031_DFP,1.4.3,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F031_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F032_DFP,1.0.4,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F032_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F103x8xB_DFP,1.4.8,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F103x8xB_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F103xCxE_DFP,1.0.6,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F103xCxE_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F0130_DFP,1.0.3,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F0140_DFP,0.0.6,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0140_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F0270_DFP,0.1.1,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0270_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32F3270_DFP,1.0.5,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F3270_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32L0xx_DFP,1.1.3,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32L0xx_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
